,Timestamp,Gill Rain mm Tot,Gill TotalDailyRain mm,Gill TotalRain mm,Gill Ws Mean
1,2024/12/26 0:00,0.0,100.8,0.56,0.739
2,2024/12/26 0:10,0.0,0.0,0.56,0.883
3,2024/12/26 0:20,0.0,0.0,0.0,0.71
4,2024/12/26 0:30,0.0,0.0,0.0,0.547
5,2024/12/26 0:40,0.0,0.0,0.0,0.653
6,2024/12/26 0:50,0.0,0.0,0.0,0.666
7,2024/12/26 1:00,0.0,0.0,0.0,0.483
8,2024/12/26 1:10,0.0,0.0,0.0,0.447
9,2024/12/26 1:20,0.0,0.0,0.0,0.531
10,2024/12/26 1:30,0.0,0.0,0.0,0.338
11,2024/12/26 1:40,0.0,0.0,0.0,0.33
12,2024/12/26 1:50,0.0,0.0,0.0,0.552
13,2024/12/26 2:00,0.0,0.0,0.0,0.513
14,2024/12/26 2:10,0.0,0.0,0.0,1.103
15,2024/12/26 2:20,0.0,0.0,0.0,0.813
16,2024/12/26 2:30,0.0,0.0,0.0,0.37
17,2024/12/26 2:40,0.0,0.0,0.0,0.416
18,2024/12/26 2:50,0.0,0.0,0.0,0.486
19,2024/12/26 3:00,0.0,0.0,0.0,0.745
20,2024/12/26 3:10,0.0,0.0,0.0,0.554
21,2024/12/26 3:20,0.0,0.0,0.0,0.937
22,2024/12/26 3:30,0.0,0.0,0.0,1.203
23,2024/12/26 3:40,0.0,0.0,0.0,0.983
24,2024/12/26 3:50,0.0,0.0,0.0,0.975
25,2024/12/26 4:00,0.0,0.0,0.0,1.037
26,2024/12/26 4:10,0.0,0.0,0.0,1.098
27,2024/12/26 4:20,0.0,0.0,0.0,1.046
28,2024/12/26 4:30,0.0,0.0,0.0,0.815
29,2024/12/26 4:40,0.0,0.0,0.0,0.695
30,2024/12/26 4:50,0.0,0.0,0.0,0.99
31,2024/12/26 5:00,0.0,0.0,0.0,0.689
32,2024/12/26 5:10,0.0,0.0,0.0,0.713
33,2024/12/26 5:20,0.0,0.0,0.0,0.499
34,2024/12/26 5:30,0.0,0.0,0.0,0.883
35,2024/12/26 5:40,0.0,0.0,0.0,0.379
36,2024/12/26 5:50,0.0,0.0,0.0,0.435
37,2024/12/26 6:00,0.0,0.0,0.0,0.409
38,2024/12/26 6:10,0.0,0.0,0.0,0.798
39,2024/12/26 6:20,0.0,0.0,0.0,0.994
40,2024/12/26 6:30,0.0,0.0,0.0,0.95
41,2024/12/26 6:40,0.0,0.0,0.0,0.476
42,2024/12/26 6:50,0.0,0.0,0.0,1.525
43,2024/12/26 7:00,0.0,0.0,0.0,1.238
44,2024/12/26 7:10,0.0,0.0,0.0,1.402
45,2024/12/26 7:20,0.0,0.0,0.0,1.509
46,2024/12/26 7:30,0.0,0.0,0.0,1.786
47,2024/12/26 7:40,0.0,0.0,0.0,1.334
48,2024/12/26 7:50,0.0,0.0,0.0,1.772
49,2024/12/26 8:00,0.0,0.0,0.0,1.616
50,2024/12/26 8:10,0.0,0.0,0.0,1.872
51,2024/12/26 8:20,0.0,0.0,0.0,1.884
52,2024/12/26 8:30,0.0,0.0,0.0,1.723
53,2024/12/26 8:40,0.0,0.0,0.0,2.182
54,2024/12/26 8:50,0.0,0.0,0.0,2.007
55,2024/12/26 9:00,0.0,0.0,0.0,2.09
56,2024/12/26 9:10,0.0,0.0,0.0,1.796
57,2024/12/26 9:20,0.0,0.0,0.0,1.79
58,2024/12/26 9:30,0.0,0.0,0.0,1.412
59,2024/12/26 9:40,0.0,0.0,0.0,1.483
60,2024/12/26 9:50,0.0,0.0,0.0,1.465
61,2024/12/26 10:00,0.0,0.0,0.0,1.183
62,2024/12/26 10:10,0.0,0.0,0.0,1.613
63,2024/12/26 10:20,0.0,0.0,0.0,1.865
64,2024/12/26 10:30,0.0,0.0,0.0,2.672
65,2024/12/26 10:40,0.0,0.0,0.0,2.669
66,2024/12/26 10:50,0.0,0.0,0.0,2.966
67,2024/12/26 11:00,0.0,0.0,0.0,2.554
68,2024/12/26 11:10,0.0,0.0,0.0,2.241
69,2024/12/26 11:20,0.0,0.0,0.0,2.662
70,2024/12/26 11:30,0.0,0.0,0.0,2.761
71,2024/12/26 11:40,0.0,0.0,0.0,1.986
72,2024/12/26 11:50,0.0,0.0,0.0,1.824
73,2024/12/26 11:50,0.0,0.0,0.0,1.824
74,2024/12/26 12:00,0.0,0.0,0.0,2.352
75,2024/12/26 12:10,0.0,0.0,0.0,1.921
76,2024/12/26 12:20,0.0,0.0,0.0,1.642
77,2024/12/26 12:30,0.0,0.0,0.0,0.739
78,2024/12/26 12:40,0.0,0.0,0.0,1.662
79,2024/12/26 12:50,0.0,0.0,0.0,2.237
80,2024/12/26 13:00,0.0,0.0,0.0,1.52
81,2024/12/26 13:10,0.0,0.0,0.0,1.403
82,2024/12/26 13:20,0.0,0.0,0.0,1.105
83,2024/12/26 13:30,0.0,0.0,0.0,1.788
84,2024/12/26 13:40,0.0,0.0,0.0,1.871
85,2024/12/26 13:50,0.0,0.0,0.0,1.152
86,2024/12/26 14:00,0.0,0.0,0.0,1.978
87,2024/12/26 14:10,0.0,0.0,0.0,1.503
88,2024/12/26 14:20,0.0,0.0,0.0,1.093
89,2024/12/26 14:30,0.0,0.0,0.0,1.405
90,2024/12/26 14:40,0.0,0.0,0.0,1.437
91,2024/12/26 14:50,0.0,0.0,0.0,1.484
92,2024/12/26 15:00,0.0,0.0,0.0,1.423
93,2024/12/26 15:10,0.0,0.0,0.0,1.422
94,2024/12/26 15:20,0.0,0.0,0.0,1.615
95,2024/12/26 15:30,0.0,0.0,0.0,2.014
96,2024/12/26 15:40,0.0,0.0,0.0,2.105
97,2024/12/26 15:50,0.0,0.0,0.0,2.869
98,2024/12/26 16:00,0.0,0.0,0.0,3.002
99,2024/12/26 16:10,0.0,0.0,0.0,2.995
100,2024/12/26 16:20,0.0,0.0,0.0,2.836
101,2024/12/26 16:30,0.0,0.0,0.0,2.888
102,2024/12/26 16:40,0.0,0.0,0.0,2.823
103,2024/12/26 16:50,0.0,0.0,0.0,2.707
104,2024/12/26 17:00,0.0,0.0,0.0,2.751
105,2024/12/26 17:10,0.0,0.0,0.0,2.234
106,2024/12/26 17:20,0.0,0.0,0.0,2.45
107,2024/12/26 17:30,0.0,0.0,0.0,2.373
108,2024/12/26 17:40,0.0,0.0,0.0,2.424
109,2024/12/26 17:50,0.0,0.0,0.0,2.307
110,2024/12/26 18:00,0.0,0.0,0.0,1.959
111,2024/12/26 18:10,0.0,0.0,0.0,1.724
112,2024/12/26 18:20,0.0,0.0,0.0,1.547
113,2024/12/26 18:30,0.0,0.0,0.0,1.46
114,2024/12/26 18:40,0.0,0.0,0.0,1.386
115,2024/12/26 18:50,0.0,0.0,0.0,1.406
116,2024/12/26 19:00,0.0,0.0,0.0,1.274
117,2024/12/26 19:10,0.0,0.0,0.0,1.406
118,2024/12/26 19:20,0.0,0.0,0.0,1.229
119,2024/12/26 19:30,0.0,0.0,0.0,1.335
120,2024/12/26 19:40,0.0,0.0,0.0,1.252
121,2024/12/26 19:50,0.0,0.0,0.0,1.242
122,2024/12/26 20:00,0.0,0.0,0.0,1.101
123,2024/12/26 20:10,0.0,0.0,0.0,1.042
124,2024/12/26 20:20,0.0,0.0,0.0,0.784
125,2024/12/26 20:30,0.0,0.0,0.0,0.547
126,2024/12/26 20:40,0.0,0.0,0.0,0.425
127,2024/12/26 20:50,0.0,0.0,0.0,0.446
128,2024/12/26 21:00,0.0,0.0,0.0,0.392
129,2024/12/26 21:10,0.0,0.0,0.0,0.546
130,2024/12/26 21:20,0.0,0.0,0.0,0.432
131,2024/12/26 21:30,0.0,0.0,0.0,0.813
132,2024/12/26 21:40,0.0,0.0,0.0,1.26
133,2024/12/26 21:50,0.0,0.0,0.0,1.226
134,2024/12/26 22:00,0.0,0.0,0.0,0.57
135,2024/12/26 22:10,0.0,0.0,0.0,0.589
136,2024/12/26 22:20,0.0,0.0,0.0,0.843
137,2024/12/26 22:30,0.0,0.0,0.0,0.673
138,2024/12/26 22:40,0.0,0.0,0.0,0.78
139,2024/12/26 22:50,0.0,0.0,0.0,0.875
140,2024/12/26 23:00,0.0,0.0,0.0,0.85
141,2024/12/26 23:10,0.0,0.0,0.0,1.092
142,2024/12/26 23:20,0.0,0.0,0.0,1.032
143,2024/12/26 23:30,0.0,0.0,0.0,0.888
144,2024/12/26 23:40,0.0,0.0,0.0,0.83
145,2024/12/26 23:50,0.0,0.0,0.0,1.447
146,2024/12/27 0:00,0.0,0.0,0.0,1.499
147,2024/12/27 0:10,0.0,0.0,0.0,1.585
148,2024/12/27 0:20,0.0,0.0,0.0,1.267
149,2024/12/27 0:30,0.0,0.0,0.0,1.195
150,2024/12/27 0:40,0.0,0.0,0.0,1.121
151,2024/12/27 0:50,0.0,0.0,0.0,0.881
152,2024/12/27 1:00,0.0,0.0,0.0,0.867
153,2024/12/27 1:10,0.0,0.0,0.0,0.736
154,2024/12/27 1:20,0.0,0.0,0.0,1.136
155,2024/12/27 1:30,0.0,0.0,0.0,1.07
156,2024/12/27 1:40,0.0,0.0,0.0,0.925
157,2024/12/27 1:50,0.0,0.0,0.0,1.005
158,2024/12/27 2:00,0.0,0.0,0.0,1.173
159,2024/12/27 2:10,0.0,0.0,0.0,1.251
160,2024/12/27 2:20,0.0,0.0,0.0,1.579
161,2024/12/27 2:30,0.0,0.0,0.0,1.093
162,2024/12/27 2:40,0.0,0.0,0.0,1.471
163,2024/12/27 2:50,0.0,0.0,0.0,1.75
164,2024/12/27 3:00,0.0,0.0,0.0,1.627
165,2024/12/27 3:10,0.0,0.0,0.0,1.928
166,2024/12/27 3:20,0.0,0.0,0.0,1.823
167,2024/12/27 3:30,0.0,0.0,0.0,1.759
168,2024/12/27 3:40,0.0,0.0,0.0,1.642
169,2024/12/27 3:50,0.0,0.0,0.0,1.504
170,2024/12/27 4:00,0.0,0.0,0.0,1.511
171,2024/12/27 4:10,0.0,0.0,0.0,1.817
172,2024/12/27 4:20,0.0,0.0,0.0,1.876
173,2024/12/27 4:30,0.0,0.0,0.0,1.562
174,2024/12/27 4:40,0.0,0.0,0.0,1.538
175,2024/12/27 4:50,0.0,0.0,0.0,1.397
176,2024/12/27 5:00,0.0,0.0,0.0,1.326
177,2024/12/27 5:10,0.0,0.0,0.0,1.19
178,2024/12/27 5:20,0.0,0.0,0.0,0.775
179,2024/12/27 5:30,0.0,0.0,0.0,0.532
180,2024/12/27 5:40,0.0,0.0,0.0,0.63
181,2024/12/27 5:50,0.0,0.0,0.0,0.997
182,2024/12/27 6:00,0.0,0.0,0.0,0.949
183,2024/12/27 6:10,0.0,0.0,0.0,0.592
184,2024/12/27 6:20,0.0,0.0,0.0,0.902
185,2024/12/27 6:30,0.0,0.0,0.0,1.246
